PLACEMENT SENSITIVITY  (w[j]=K=3 fixed, shared=1 -> energy constant by construction)
cfg seed coverage energy objective acc
 3 10 0.9167 0.025000 0.707000 0.7070
 4 10 1.0000 0.025000 0.729000 0.7290
 5 10 0.9167 0.025000 0.712000 0.7120
 6 10 0.9167 0.025000 0.705000 0.7050
 7 10 1.0000 0.025000 0.774000 0.7740
 8 10 0.9167 0.025000 0.709000 0.7090
 9 10 1.0000 0.025000 0.693000 0.6930
10 10 0.8333 0.025000 0.697000 0.6970
11 10 0.9167 0.025000 0.756000 0.7560
12 10 0.9167 0.025000 0.775000 0.7750
13 10 0.8333 0.025000 0.703000 0.7030
14 10 0.9167 0.025000 0.713000 0.7130
15 10 0.9167 0.025000 0.705000 0.7050
16 10 1.0000 0.025000 0.719000 0.7190
17 10 0.8333 0.025000 0.698000 0.6980
18 10 0.9167 0.025000 0.689000 0.6890
19 10 0.8333 0.025000 0.760000 0.7600
20 10 1.0000 0.025000 0.712000 0.7120
21 10 0.7500 0.025000 0.691000 0.6910
22 10 1.0000 0.025000 0.758000 0.7580
23 10 1.0000 0.025000 0.694000 0.6940
 0 11 0.2500 0.025000 0.691000 0.6910
 1 11 0.5000 0.025000 0.715000 0.7150
 2 11 1.0000 0.025000 0.702000 0.7020
 3 11 0.9167 0.025000 0.715000 0.7150
 4 11 1.0000 0.025000 0.699000 0.6990
 5 11 0.9167 0.025000 0.684000 0.6840
 6 11 0.9167 0.025000 0.673000 0.6730
 7 11 1.0000 0.025000 0.691000 0.6910
 8 11 0.8333 0.025000 0.690000 0.6900
 9 11 1.0000 0.025000 0.770000 0.7700
10 11 0.9167 0.025000 0.693000 0.6930
11 11 0.9167 0.025000 0.667000 0.6670
12 11 1.0000 0.025000 0.705000 0.7050
13 11 1.0000 0.025000 0.649000 0.6490
14 11 0.8333 0.025000 0.680000 0.6800
15 11 0.9167 0.025000 0.696000 0.6960
16 11 1.0000 0.025000 0.674000 0.6740
17 11 0.8333 0.025000 0.653000 0.6530
18 11 0.9167 0.025000 0.682000 0.6820
19 11 0.6667 0.025000 0.559000 0.5590
20 11 1.0000 0.025000 0.674000 0.6740
21 11 0.8333 0.025000 0.743000 0.7430
22 11 1.0000 0.025000 0.697000 0.6970
23 11 0.9167 0.025000 0.655000 0.6550
 0 12 0.2500 0.025000 0.701000 0.7010
 1 12 0.5000 0.025000 0.687000 0.6870
 2 12 1.0000 0.025000 0.892000 0.8920
 3 12 0.9167 0.025000 0.840000 0.8400
 4 12 1.0000 0.025000 0.887000 0.8870
 5 12 0.9167 0.025000 0.859000 0.8590
 6 12 1.0000 0.025000 0.886000 0.8860
 7 12 0.7500 0.025000 0.836000 0.8360
 8 12 0.9167 0.025000 0.844000 0.8440
 9 12 1.0000 0.025000 0.815000 0.8150
10 12 0.8333 0.025000 0.885000 0.8850
11 12 1.0000 0.025000 0.844000 0.8440
12 12 0.8333 0.025000 0.750000 0.7500
13 12 0.7500 0.025000 0.838000 0.8380
14 12 0.8333 0.025000 0.891000 0.8910
15 12 0.8333 0.025000 0.761000 0.7610
16 12 0.9167 0.025000 0.896000 0.8960
17 12 1.0000 0.025000 0.889000 0.8890
18 12 1.0000 0.025000 0.886000 0.8860
19 12 0.8333 0.025000 0.852000 0.8520
20 12 0.8333 0.025000 0.819000 0.8190
21 12 0.8333 0.025000 0.830000 0.8300
22 12 1.0000 0.025000 0.875000 0.8750
23 12 0.9167 0.025000 0.889000 0.8890
