place seed coverage final aulc
 2 16 0.2500 0.6270 0.6156
 3 16 0.2500 0.6640 0.6524
 4 16 0.5000 0.7260 0.7309
 5 16 0.5000 0.7260 0.7242
 6 16 0.7500 0.6950 0.6676
 7 16 1.0000 0.8510 0.7926
 8 16 0.9167 0.7080 0.7156
 9 16 1.0000 0.8440 0.7894
10 16 0.9167 0.6950 0.6950
11 16 0.5000 0.6820 0.6831
12 16 1.0000 0.8510 0.7981
13 16 0.5000 0.6820 0.6804
14 16 0.5833 0.6710 0.6566
15 16 0.7500 0.7370 0.6594
 0 17 0.2500 0.6580 0.6576
 1 17 0.2500 0.6240 0.6121
 2 17 0.2500 0.6810 0.6785
 3 17 0.2500 0.5690 0.5700
 4 17 0.5000 0.6620 0.6484
 5 17 0.5000 0.6650 0.6629
 6 17 0.7500 0.7780 0.7747
 7 17 1.0000 0.9280 0.9184
 8 17 0.9167 0.8870 0.8744
 9 17 1.0000 0.9270 0.8962
10 17 0.9167 0.9100 0.8564
11 17 0.5000 0.7410 0.7510
12 17 1.0000 0.9270 0.8759
13 17 0.5000 0.7410 0.7488
14 17 0.5833 0.7470 0.7465
15 17 0.7500 0.8230 0.8221
 0 18 0.2500 0.6360 0.6325
 1 18 0.2500 0.6630 0.6726
 2 18 0.2500 0.7120 0.7103
 3 18 0.2500 0.6030 0.6090
 4 18 0.5000 0.6520 0.6396
 5 18 0.5000 0.6520 0.6495
 6 18 0.7500 0.7810 0.7854
 7 18 1.0000 0.9440 0.9485
 8 18 0.9167 0.9070 0.8843
 9 18 1.0000 0.9360 0.9328
10 18 0.9167 0.9030 0.8755
11 18 0.5000 0.6990 0.6974
12 18 1.0000 0.9430 0.9414
13 18 0.5000 0.6990 0.6838
14 18 0.5833 0.7290 0.7406
15 18 0.7500 0.8390 0.8380
 0 19 0.2500 0.6400 0.6385
 1 19 0.2500 0.6380 0.6317
 2 19 0.2500 0.6650 0.6646
 3 19 0.2500 0.6430 0.6321
 4 19 0.5000 0.6800 0.6825
 5 19 0.5000 0.6800 0.6829
 6 19 0.7500 0.7580 0.7266
 7 19 1.0000 0.9480 0.9182
 8 19 0.9167 0.9070 0.8960
 9 19 1.0000 0.9450 0.8997
10 19 0.9167 0.9050 0.8726
11 19 0.5000 0.7320 0.7046
12 19 1.0000 0.9430 0.8946
13 19 0.5000 0.7310 0.6871
14 19 0.5833 0.7530 0.7110
15 19 0.7500 0.8420 0.8396
 0 20 0.2500 0.7350 0.7338
 1 20 0.2500 0.5180 0.5204
 2 20 0.2500 0.5170 0.5191
 3 20 0.2500 0.7330 0.7299
 4 20 0.5000 0.7730 0.7663
 5 20 0.5000 0.7710 0.7693
 6 20 0.7500 0.6700 0.6571
 7 20 1.0000 0.7530 0.7157
 8 20 0.9167 0.7340 0.6972
 9 20 1.0000 0.7760 0.7322
10 20 0.9167 0.6700 0.6527
11 20 0.5000 0.6940 0.6732
12 20 1.0000 0.7520 0.7183
13 20 0.5000 0.6940 0.6712
14 20 0.5833 0.7140 0.6975
15 20 0.7500 0.6880 0.6345
 0 21 0.2500 0.7370 0.7363
 1 21 0.2500 0.5220 0.5150
 2 21 0.2500 0.4910 0.4876
 3 21 0.2500 0.7630 0.7547
 4 21 0.5000 0.8110 0.7986
 5 21 0.5000 0.8120 0.8037
 6 21 0.7500 0.7300 0.6967
 7 21 1.0000 0.7450 0.6799
 8 21 0.9167 0.7410 0.7158
 9 21 1.0000 0.7290 0.7009
10 21 0.9167 0.6780 0.6887
11 21 0.5000 0.7480 0.7257
12 21 1.0000 0.7760 0.7330
13 21 0.5000 0.7480 0.7175
14 21 0.5833 0.7300 0.7114
15 21 0.7500 0.7310 0.7034
 0 22 0.2500 0.5880 0.5874
 1 22 0.2500 0.6460 0.6400
 2 22 0.2500 0.6480 0.6564
 3 22 0.2500 0.5890 0.5956
 4 22 0.5000 0.6270 0.6287
 5 22 0.5000 0.6270 0.6298
 6 22 0.7500 0.7940 0.7896
 7 22 1.0000 0.8950 0.8829
 8 22 0.9167 0.8890 0.8884
 9 22 1.0000 0.9050 0.8914
10 22 0.9167 0.8940 0.9138
11 22 0.5000 0.6460 0.6023
12 22 1.0000 0.8960 0.8688
13 22 0.5000 0.6480 0.6615
14 22 0.5833 0.7200 0.6494
15 22 0.7500 0.8390 0.8441
 0 23 0.2500 0.6290 0.6267
 1 23 0.2500 0.6210 0.6191
